Tenor,Termination,Par_rate_%,DF,Zero_cc,Zero_annual
1W,2025-11-25,3.984739560793535,0.9987836524861511,0.03983196648752075,0.040635897795133546
2W,2025-12-02,3.975849048825203,0.9980144270190363,0.03975093688521867,0.04055157889840344
3W,2025-12-09,3.984225918537569,0.9972398037914461,0.039801781070477944,0.04060448624065671
1M,2025-12-18,3.975122526925438,0.9962573164332098,0.039702758098977865,0.04050144759395358
2M,2026-01-20,3.935190187179054,0.9927210646809244,0.039253733880213144,0.04003434212300694
3M,2026-02-18,3.892052455176908,0.9897134776592009,0.03877422843149427,0.03953575953519106
4M,2026-03-18,3.867591985927203,0.9868352666221227,0.03847400302339627,0.03922371133229552
5M,2026-04-20,3.835763127626731,0.9835241169599089,0.03809377808696927,0.0388286476740074
6M,2026-05-18,3.804537280186477,0.980796484437881,0.03773247215131915,0.03845338051468783
7M,2026-06-18,3.778574908963665,0.9777999006246456,0.037417050781953995,0.038125881780149085
8M,2026-07-20,3.746414434361187,0.9748049187057762,0.037042129425963674,0.037736739170359135
9M,2026-08-18,3.712179152833134,0.9721897075822816,0.03665543543688107,0.03733553018862201
10M,2026-09-18,3.682353730107529,0.9694131988002999,0.03630896910118655,0.036976190601721415
11M,2026-10-19,3.652742754212103,0.9666986591263722,0.03596650255790334,0.03662112175332988
12M,2026-11-18,3.620800703553158,0.9641622600406945,0.03560554047946113,0.03624700836310035
13M,2026-12-18,3.5874627466365,0.9616028611050214,0.035326682568560336,0.03595808297360836
14M,2027-01-19,3.554498923394162,0.9589189199610582,0.03503840250993422,0.03565947995942986
15M,2027-02-18,3.523906348867984,0.9564714557754876,0.034753925920310895,0.03536490098495748
16M,2027-03-18,3.502238581318692,0.954156297378306,0.0345480642134355,0.03515178093658289
17M,2027-04-19,3.481275202495451,0.9515129924570401,0.03434298953227824,0.034939519280647646
18M,2027-05-18,3.463111773765695,0.9491533156294465,0.034157414284283844,0.03474747794230848
19M,2027-06-18,3.446864009326991,0.9466275405402297,0.03398596281441201,0.03457008417391494
